type,t_ms,roll_deg,roll_ref_deg,gx_dps,gx_ref_dps,omega_ref,omega_l,omega_r
DATA,151384,1.049,0.820,-31.489,-0.688,-1.734,-1.362,-1.967
DATA,151404,0.786,0.820,-35.208,0.103,-1.520,-1.675,-1.654
DATA,151424,0.064,0.820,-25.574,2.269,-1.169,-1.243,-1.155
DATA,151444,-0.083,0.820,-31.611,2.709,-0.896,-1.088,-1.392
DATA,151464,-0.609,0.820,-15.147,4.286,-0.536,-0.654,-0.756
DATA,151484,-0.558,0.820,3.145,4.134,-0.398,-0.337,-0.380
DATA,151504,-0.428,0.820,-0.635,3.745,-0.312,-0.228,-0.380
DATA,151524,-0.362,0.820,-3.867,3.545,-0.205,-0.172,-0.335
DATA,151544,-0.405,0.820,-15.818,3.675,-0.038,-0.997,-0.226
DATA,151564,-0.963,0.820,-18.867,5.350,0.332,-0.532,-0.171
DATA,151584,-1.134,0.820,-10.208,5.863,0.654,-0.302,0.000
DATA,151604,-1.358,0.820,-13.196,6.535,0.988,-0.211,0.000
DATA,151624,-1.692,0.820,-10.086,7.537,1.354,0.990,0.000
DATA,151644,-2.075,0.820,0.524,8.686,1.668,0.929,1.147
DATA,151664,-1.785,0.820,8.755,7.814,1.857,1.077,0.917
DATA,151684,-1.709,0.820,20.889,7.588,2.033,1.059,0.795
DATA,151704,-0.955,0.820,32.231,5.326,1.872,1.815,1.728
DATA,151724,-0.549,0.820,30.463,4.107,1.673,1.733,1.734
DATA,151744,-0.176,0.820,20.706,2.989,1.487,1.533,1.340
DATA,151764,0.216,0.820,22.536,1.811,1.232,1.348,1.345
DATA,151784,0.309,0.820,3.024,1.534,1.082,0.741,0.812
DATA,151804,0.610,0.820,35.646,0.630,0.797,1.234,1.379
DATA,151824,1.290,0.820,23.085,-1.410,0.344,0.738,1.239
DATA,151844,1.460,0.820,0.585,-1.920,0.088,0.359,0.447
DATA,151864,1.374,0.820,1.133,-1.662,-0.074,0.237,0.273
DATA,151884,1.390,0.820,3.024,-1.709,-0.267,0.177,0.196
DATA,151904,1.427,0.820,4.914,-1.822,-0.482,0.141,0.153
