type,t_ms,roll_deg,roll_ref_deg,gx_dps,gx_ref_dps,omega_ref,omega_l,omega_r
DATA,146344,0.565,0.780,9.738,0.754,-0.846,-0.367,-0.400
DATA,146364,0.770,0.780,-2.275,0.036,-0.922,-0.262,-0.274
DATA,146384,0.377,0.780,-19.226,1.412,-0.721,-1.257,-1.631
DATA,146404,0.271,0.780,6.628,1.781,-0.674,-0.597,-0.565
DATA,146424,0.717,0.780,15.591,0.220,-0.944,-0.344,-0.312
DATA,146444,0.782,0.780,-11.787,-0.006,-0.997,-1.573,-0.939
DATA,146464,0.519,0.780,-0.750,0.913,-0.937,-0.910,-1.407
DATA,146484,0.708,0.780,8.884,0.252,-1.085,-0.544,-0.567
DATA,146504,0.842,0.780,-9.348,-0.217,-1.103,-0.393,-0.457
DATA,146524,0.171,0.780,-33.494,2.131,-0.733,-1.217,-1.379
DATA,146544,-0.368,0.780,-14.836,4.018,-0.364,-0.681,-0.653
DATA,146564,-0.322,0.780,16.018,3.858,-0.293,-0.346,-0.339
DATA,146584,-0.018,0.780,14.067,2.792,-0.421,-0.232,-0.228
DATA,146604,0.252,0.780,13.518,1.849,-0.587,-0.174,-0.172
DATA,146624,0.537,0.780,12.055,0.849,-0.792,-0.929,-0.141
DATA,146644,0.446,0.780,-13.921,1.168,-0.763,-0.958,-0.962
DATA,146664,-0.016,0.780,-15.201,2.787,-0.535,-0.404,-0.751
DATA,146684,-0.046,0.780,0.286,2.890,-0.419,-0.336,-0.362
DATA,146704,0.180,0.780,13.945,2.099,-0.533,-0.693,-0.239
DATA,146724,0.355,0.780,7.664,1.486,-0.691,-0.825,-0.197
DATA,146744,0.616,0.780,13.884,0.576,-0.900,-0.391,-0.197
DATA,146764,0.802,0.780,-9.348,-0.078,-0.975,-0.308,-1.699
DATA,146784,0.148,0.780,-27.153,2.211,-0.605,-1.395,-0.718
DATA,146804,-0.032,0.780,-0.262,2.842,-0.394,-0.952,-0.530
DATA,146824,0.196,0.780,10.225,2.043,-0.507,-0.403,-0.423
DATA,146844,0.472,0.780,2.116,1.078,-0.629,-0.256,-0.264
DATA,146864,0.502,0.780,-9.104,0.974,-0.592,-0.864,-0.205
DATA,146884,0.118,0.780,-14.836,2.319,-0.405,-0.868,-1.611
DATA,146904,-0.046,0.780,-6.970,2.892,-0.247,-0.574,-0.504
DATA,146924,-0.154,0.780,-4.531,3.269,-0.104,-0.314,-0.292
DATA,146944,-0.174,0.780,-0.750,3.337,-0.021,-0.217,-0.207
DATA,146964,-0.219,0.780,-2.701,3.496,0.073,-0.166,-0.159
DATA,146984,-0.299,0.780,-4.104,3.776,0.198,-0.134,-0.130
DATA,147004,-0.431,0.780,-4.470,4.239,0.351,-0.112,-0.109
DATA,147024,-0.566,0.780,-5.019,4.710,0.530,-0.097,-0.095
DATA,147044,-0.746,0.780,-4.287,5.341,0.735,0.000,-0.083
DATA,147064,-0.790,0.780,4.981,5.496,0.864,0.710,0.723
DATA,147084,-0.689,0.780,-2.031,5.142,0.964,0.597,0.678
DATA,147104,-0.922,0.780,5.591,5.959,1.151,0.526,0.344
DATA,147124,-0.771,0.780,17.603,5.428,1.133,1.021,0.260
DATA,147144,-0.666,0.780,24.067,5.060,1.021,0.822,0.604
DATA,147164,-0.029,0.780,31.384,2.831,0.629,0.933,1.018
DATA,147184,0.120,0.780,3.701,2.309,0.486,0.801,0.827
DATA,147204,0.181,0.780,13.213,2.097,0.363,0.373,1.227
DATA,147224,0.289,0.780,13.335,1.717,0.194,0.243,0.000
DATA,147244,0.574,0.780,17.786,0.720,-0.079,0.181,0.000
DATA,147264,0.944,0.780,22.664,-0.574,-0.455,0.143,0.000
DATA,147284,1.466,0.780,25.652,-2.401,-0.945,0.000,0.000
DATA,147304,2.074,0.780,26.933,-4.530,-1.549,-0.755,0.000
DATA,147324,2.841,0.780,11.323,-7.214,-2.187,-1.142,-1.383
DATA,147344,2.624,0.780,-21.421,-6.452,-2.362,-2.051,-1.704
DATA,147364,2.200,0.780,-26.726,-4.971,-2.371,-1.870,-2.044
DATA,147384,1.797,0.780,-22.641,-3.560,-2.298,-2.026,-1.712
DATA,147404,1.342,0.780,-18.006,-1.965,-2.166,-1.851,-2.059
DATA,147424,0.786,0.780,-25.872,-0.021,-1.925,-1.979,-1.889
DATA,147444,0.462,0.780,-18.555,1.114,-1.746,-1.693,-1.456
DATA,147464,0.142,0.780,-7.519,2.232,-1.562,-1.467,-1.719
DATA,147484,-0.067,0.780,-13.738,2.965,-1.378,-1.533,-1.452
DATA,147504,-0.364,0.780,-11.482,4.003,-1.112,-1.104,-1.116
DATA,147524,-0.383,0.780,-0.689,4.072,-0.935,-1.236,-0.571
DATA,147544,-0.152,0.780,15.469,3.263,-1.015,-0.666,-1.526
DATA,147564,0.407,0.780,22.664,1.306,-1.299,-0.378,-0.835
DATA,147584,0.337,0.780,-23.433,1.551,-1.203,-1.638,-1.450
DATA,147604,0.022,0.780,-11.787,2.653,-0.953,-0.940,-1.341
DATA,147624,0.036,0.780,2.299,2.603,-0.890,-1.421,-0.591
DATA,147644,0.248,0.780,17.360,1.862,-1.043,-1.050,-0.320
DATA,147664,0.720,0.780,14.006,0.208,-1.298,-0.451,-1.544
DATA,147684,0.495,0.780,-31.055,0.998,-1.128,-2.103,-1.371
DATA,147704,-0.079,0.780,-18.311,3.007,-0.789,-0.787,-1.048
DATA,147724,-0.288,0.780,1.994,3.738,-0.619,-0.370,-0.857
DATA,147744,0.023,0.780,9.128,2.649,-0.686,-0.804,-0.530
DATA,147764,0.336,0.780,-7.580,1.556,-0.739,-1.146,-0.301
DATA,147784,0.155,0.780,-5.628,2.188,-0.618,-0.462,-1.014
DATA,147804,-0.029,0.780,-14.043,2.832,-0.465,-0.462,-1.219
DATA,147824,-0.230,0.780,-4.531,3.534,-0.286,-1.027,-0.490
DATA,147844,-0.234,0.780,6.506,3.550,-0.265,-0.628,-0.287
DATA,147864,-0.077,0.780,8.030,3.000,-0.303,-0.331,-0.204
DATA,147884,0.059,0.780,6.445,2.524,-0.363,-0.225,-0.158
