type,t_ms,roll_deg,roll_ref_deg,gx_dps,gx_ref_dps,omega_ref,omega_l,omega_r
DATA,95304,0.306,0.820,7.283,2.054,-0.393,-0.140,-0.235
DATA,95324,0.458,0.820,4.661,1.450,-0.465,-0.140,-0.176
DATA,95344,0.390,0.820,-15.766,1.720,-0.461,-0.940,-0.164
DATA,95364,0.047,0.820,-6.192,3.094,-0.371,-0.597,-0.164
DATA,95384,0.050,0.820,-1.985,3.080,-0.340,-0.322,-0.164
DATA,95404,-0.008,0.820,-5.765,3.313,-0.276,-0.221,-0.164
DATA,95424,-0.158,0.820,-13.997,3.912,-0.163,-0.207,-0.149
DATA,95444,-0.469,0.820,-11.375,5.156,0.031,-0.207,-0.123
DATA,95464,-0.738,0.820,-13.875,6.233,0.253,-0.207,-0.104
DATA,95484,-1.051,0.820,-16.131,7.485,0.534,-0.185,-0.091
DATA,95504,-1.403,0.820,-18.692,8.890,0.885,-0.146,0.000
DATA,95524,-1.809,0.820,-21.009,10.518,1.305,0.000,0.000
DATA,95544,-2.450,0.820,-20.644,13.078,1.800,1.218,0.357
DATA,95564,-2.455,0.820,2.161,13.100,2.256,0.735,1.270
DATA,95584,-2.282,0.820,23.259,12.406,2.477,1.836,1.815
DATA,95604,-1.833,0.820,30.881,10.610,2.559,2.023,1.816
DATA,95624,-1.342,0.820,37.649,8.648,2.540,2.329,1.855
DATA,95644,-0.766,0.820,41.856,6.345,2.412,2.341,2.391
DATA,95664,-0.020,0.820,35.881,3.359,2.166,2.227,2.285
DATA,95684,0.776,0.820,37.832,0.177,1.798,2.110,2.193
DATA,95704,1.400,0.820,23.198,-2.318,1.421,1.508,1.414
DATA,95724,1.739,0.820,21.856,-3.676,1.061,1.402,1.474
DATA,95744,1.961,0.820,3.198,-4.563,0.730,0.960,0.761
DATA,95764,1.868,0.820,-6.802,-4.191,0.515,0.516,1.064
DATA,95784,1.518,0.820,-17.412,-2.793,0.418,0.297,0.832
DATA,95804,1.033,0.820,-23.144,-0.852,0.456,0.209,0.381
DATA,95824,0.568,0.820,-21.985,1.007,0.561,0.161,0.246
DATA,95844,0.068,0.820,-20.766,3.006,0.726,0.132,0.192
DATA,95864,-0.144,0.820,21.369,3.857,0.748,1.353,0.810
DATA,95884,0.066,0.820,9.174,3.016,0.647,0.615,0.952
DATA,95904,-0.049,0.820,-8.753,3.475,0.714,0.476,0.403
DATA,95924,-0.142,0.820,5.942,3.847,0.773,1.472,0.390
DATA,95944,-0.036,0.820,-3.083,3.425,0.785,0.504,0.416
DATA,95964,-0.304,0.820,-11.558,4.497,0.912,0.826,1.657
DATA,95984,0.030,0.820,24.052,3.161,0.880,1.142,1.133
DATA,96004,0.556,0.820,10.942,1.054,0.739,0.830,0.448
DATA,96024,0.605,0.820,-7.534,0.859,0.699,0.779,1.108
DATA,96044,0.383,0.820,-15.034,1.746,0.764,0.400,0.825
DATA,96064,0.384,0.820,14.905,1.744,0.720,1.189,0.379
DATA,96084,0.578,0.820,2.466,0.966,0.597,0.735,0.300
DATA,96104,0.560,0.820,-12.839,1.042,0.608,0.357,0.534
DATA,96124,0.348,0.820,1.674,1.889,0.602,1.062,1.045
DATA,96144,0.324,0.820,-8.387,1.983,0.632,0.941,0.491
DATA,96164,0.049,0.820,-14.851,3.084,0.731,0.403,0.491
DATA,96184,-0.274,0.820,2.039,4.374,0.859,0.342,0.443
DATA,96204,-0.215,0.820,21.552,4.139,0.815,1.124,1.409
DATA,96224,0.347,0.820,6.552,1.893,0.688,1.051,1.173
DATA,96244,0.105,0.820,-13.326,2.861,0.741,0.434,0.478
DATA,96264,-0.173,0.820,-7.595,3.974,0.870,0.282,0.283
DATA,96284,-0.367,0.820,19.417,4.749,0.889,0.782,0.229
DATA,96304,0.385,0.820,38.625,1.739,0.566,1.366,1.446
DATA,96324,0.849,0.820,12.954,-0.118,0.305,0.546,0.772
