type,t_ms,roll_deg,roll_ref_deg,gx_dps,gx_ref_dps,omega_ref,omega_l,omega_r
DATA,125824,-0.742,0.820,-7.117,6.248,-1.562,-1.854,-1.770
DATA,125844,-0.536,0.820,1.725,5.422,-1.429,-1.522,-1.433
DATA,125864,-0.388,0.820,2.395,4.831,-1.310,-1.410,-1.717
DATA,125884,0.003,0.820,6.847,3.268,-1.350,-1.182,-1.074
DATA,125904,0.349,0.820,-3.153,1.883,-1.407,-1.344,-1.626
DATA,125924,0.221,0.820,-15.653,2.397,-1.304,-1.529,-1.352
DATA,125944,0.094,0.820,-2.849,2.904,-1.219,-1.296,-1.332
DATA,125964,0.030,0.820,-10.958,3.162,-1.130,-1.415,-0.693
DATA,125984,-0.057,0.820,-7.849,3.506,-1.013,-0.954,-1.741
DATA,126004,-0.424,0.820,-18.702,4.975,-0.783,-1.184,-0.981
DATA,126024,-0.481,0.820,4.408,5.203,-0.615,-0.877,-0.658
DATA,126044,-0.321,0.820,12.944,4.565,-0.669,-0.509,-0.897
DATA,126064,-0.091,0.820,10.200,3.643,-0.741,-0.491,-0.670
DATA,126084,0.143,0.820,-1.690,2.707,-0.779,-0.336,-0.403
DATA,126104,-0.132,0.820,-10.227,3.810,-0.617,-1.073,-0.331
DATA,126124,-0.220,0.820,-8.336,4.159,-0.492,-0.631,-1.105
DATA,126144,-0.351,0.820,-5.105,4.683,-0.324,-0.332,-0.679
DATA,126164,-0.266,0.820,0.383,4.343,-0.237,-0.225,-0.345
DATA,126184,-0.096,0.820,-0.410,3.662,-0.198,-0.171,-0.231
DATA,126204,-0.101,0.820,-6.080,3.682,-0.109,-0.137,-0.174
DATA,126224,-0.235,0.820,-9.678,4.219,0.044,-0.115,-0.139
DATA,126244,-0.463,0.820,-13.214,5.131,0.267,-0.098,-0.116
DATA,126264,-0.801,0.820,-16.812,6.484,0.569,-0.086,-0.100
DATA,126284,-1.221,0.820,-19.434,8.166,0.965,-0.077,-0.087
DATA,126304,-1.728,0.820,-20.471,10.190,1.451,0.000,-0.077
DATA,126324,-2.412,0.820,-10.653,12.929,1.994,1.068,1.265
DATA,126344,-2.392,0.820,13.920,12.848,2.312,0.988,1.434
DATA,126364,-1.781,0.820,24.591,10.403,2.367,1.768,1.768
DATA,126384,-1.358,0.820,26.176,8.713,2.374,1.834,1.925
DATA,126404,-1.009,0.820,33.127,7.316,2.306,2.004,2.086
DATA,126424,-0.288,0.820,30.261,4.433,2.053,1.985,2.197
DATA,126444,0.318,0.820,20.566,2.010,1.776,1.647,1.745
DATA,126464,0.755,0.820,18.798,0.259,1.528,1.801,1.674
DATA,126484,0.934,0.820,-0.470,-0.455,1.344,1.018,1.293
DATA,126504,0.666,0.820,1.603,0.614,1.204,1.760,1.350
DATA,126524,0.445,0.820,6.664,1.500,1.132,1.038,1.196
DATA,126544,0.225,0.820,1.054,2.378,1.074,1.571,1.157
DATA,126564,0.163,0.820,-5.349,2.627,1.063,0.772,0.741
DATA,126584,-0.058,0.820,-1.995,3.511,1.140,0.461,0.949
DATA,126604,0.177,0.820,23.310,2.573,0.950,1.479,1.051
DATA,126624,0.431,0.820,17.273,1.557,0.769,1.033,0.947
DATA,126644,0.565,0.820,11.115,1.021,0.593,0.441,0.974
DATA,126664,0.673,0.820,7.212,0.587,0.431,0.271,0.784
DATA,126684,0.930,0.820,32.273,-0.440,0.158,1.165,0.370
DATA,126704,1.433,0.820,17.883,-2.452,-0.272,0.990,0.242
DATA,126724,1.600,0.820,12.822,-3.121,-0.612,0.000,0.180
DATA,126744,1.789,0.820,18.371,-3.877,-1.010,0.000,0.143
DATA,126764,2.160,0.820,19.469,-5.361,-1.499,0.000,0.000
DATA,126784,2.758,0.820,6.298,-7.750,-2.002,-1.213,-1.093
DATA,126804,2.610,0.820,-1.568,-7.159,-2.358,-1.795,-0.859
DATA,126824,2.444,0.820,-21.385,-6.496,-2.592,-1.949,-1.993
DATA,126844,2.105,0.820,-21.202,-5.139,-2.632,-2.030,-2.351
DATA,126864,1.966,0.820,-12.666,-4.586,-2.713,-2.166,-2.337
DATA,126884,1.812,0.820,-30.531,-3.969,-2.721,-2.552,-2.461
DATA,126904,1.225,0.820,-31.507,-1.620,-2.555,-2.354,-2.616
DATA,126924,0.612,0.820,-34.434,0.830,-2.290,-2.263,-2.563
DATA,126944,-0.028,0.820,-31.934,3.394,-1.978,-2.277,-2.088
DATA,126964,-0.483,0.820,-17.239,5.210,-1.654,-2.026,-1.868
DATA,126984,-0.656,0.820,-4.007,5.905,-1.385,-1.416,-1.806
DATA,127004,-0.627,0.820,-7.056,5.786,-1.178,-1.410,-1.180
DATA,127024,-0.319,0.820,-0.531,4.555,-1.098,-1.053,-1.337
DATA,127044,-0.075,0.820,-3.153,3.578,-0.994,-1.430,-0.608
DATA,127064,0.051,0.820,-15.044,3.078,-0.904,-0.773,-1.174
DATA,127084,0.241,0.820,-16.751,2.317,-0.798,-0.707,-0.991
DATA,127104,0.156,0.820,-11.995,2.655,-0.652,-1.152,-0.590
DATA,127124,0.173,0.820,-3.702,2.589,-0.569,-0.514,-0.321
DATA,127144,0.180,0.820,-12.970,2.560,-0.455,-0.514,-0.220
DATA,127164,-0.064,0.820,-33.214,3.535,-0.164,-0.337,-1.198
DATA,127184,-0.683,0.820,-36.141,6.014,0.356,-0.227,-0.923
