type,t_ms,roll_deg,roll_ref_deg,gx_dps,gx_ref_dps,omega_ref,omega_l,omega_r
DATA,48844,0.933,0.820,-25.434,-0.394,-2.361,-2.354,-2.421
DATA,48864,0.770,0.820,-19.825,0.174,-2.164,-2.295,-2.094
DATA,48884,0.555,0.820,-19.215,0.927,-1.945,-2.171,-1.926
DATA,48904,0.212,0.820,-13.422,2.127,-1.689,-1.484,-1.424
DATA,48924,0.292,0.820,-24.154,1.848,-1.449,-1.592,-1.723
DATA,48944,0.268,0.820,-5.130,1.933,-1.271,-1.458,-1.209
DATA,48964,-0.014,0.820,-24.642,2.918,-0.935,-1.152,-1.217
DATA,48984,-0.288,0.820,-6.105,3.878,-0.670,-0.592,-0.700
DATA,49004,-0.178,0.820,0.114,3.494,-0.607,-0.624,-0.349
DATA,49024,-0.218,0.820,-23.605,3.633,-0.268,-0.996,-0.233
DATA,49044,-0.513,0.820,-14.154,4.667,0.079,-0.409,-0.175
DATA,49064,-0.758,0.820,-18.239,5.522,0.427,-0.258,-0.140
DATA,49084,-1.100,0.820,-24.520,6.720,0.912,-0.189,-0.117
DATA,49104,-1.649,0.820,-8.117,8.642,1.445,1.264,1.045
DATA,49124,-1.489,0.820,-22.751,8.083,1.887,0.978,0.975
DATA,49144,-1.888,0.820,-8.727,9.479,2.367,1.607,0.575
DATA,49164,-1.761,0.820,1.334,9.034,2.744,2.015,2.191
DATA,49184,-2.260,0.820,6.944,10.779,3.037,2.321,2.616
DATA,49204,-2.187,0.820,15.236,10.524,3.235,2.748,2.685
DATA,49224,-1.844,0.820,21.029,9.324,3.319,3.080,2.704
DATA,49244,-1.710,0.820,18.712,8.855,3.389,2.995,2.835
DATA,49264,-1.382,0.820,19.871,7.707,3.419,2.955,3.006
DATA,49284,-1.089,0.820,21.212,6.681,3.370,2.808,3.059
DATA,49304,-1.039,0.820,22.066,6.505,3.310,2.899,3.014
DATA,49324,-1.092,0.820,22.371,6.691,3.236,3.257,2.950
DATA,49344,-0.812,0.820,22.736,5.713,3.099,3.097,2.996
DATA,49364,-0.198,0.820,26.029,3.561,2.883,2.829,2.811
DATA,49384,0.514,0.820,15.053,1.071,2.632,2.636,2.574
DATA,49404,0.789,0.820,10.663,0.110,2.416,2.463,2.507
DATA,49424,0.686,0.820,9.444,0.468,2.240,2.424,2.479
DATA,49444,0.538,0.820,-4.276,0.989,2.183,2.196,2.153
DATA,49464,0.343,0.820,4.505,1.671,2.157,2.367,2.112
DATA,49484,0.476,0.820,6.273,1.206,2.013,2.192,2.212
DATA,49504,0.618,0.820,2.858,0.706,1.845,1.710,1.898
DATA,49524,0.572,0.820,-3.361,0.869,1.796,1.856,1.582
DATA,49544,0.611,0.820,5.175,0.731,1.752,1.861,2.180
DATA,49564,0.578,0.820,3.224,0.848,1.599,1.536,1.675
DATA,49584,0.478,0.820,2.492,1.198,1.463,1.675,1.537
DATA,49604,0.153,0.820,7.431,2.334,1.490,1.654,1.496
DATA,49624,0.002,0.820,2.919,2.861,1.392,1.486,1.170
DATA,49644,0.108,0.820,28.102,2.492,1.187,1.534,1.581
DATA,49664,0.438,0.820,5.114,1.335,0.929,0.843,0.892
DATA,49684,0.610,0.820,23.529,0.735,0.648,1.595,0.957
DATA,49704,1.008,0.820,15.175,-0.660,0.275,0.803,0.856
DATA,49724,1.115,0.820,9.383,-1.033,0.027,0.374,0.385
DATA,49744,1.236,0.820,10.053,-1.456,-0.242,0.244,0.248
DATA,49764,1.474,0.820,16.456,-2.289,-0.603,0.181,0.183
DATA,49784,1.842,0.820,18.224,-3.576,-1.060,0.000,0.145
DATA,49804,2.078,0.820,4.139,-4.402,-1.457,-0.597,-1.257
DATA,49824,2.212,0.820,15.968,-4.871,-1.915,-0.884,-0.989
DATA,49844,2.410,0.820,-3.056,-5.564,-2.262,-1.948,-0.484
DATA,49864,2.878,0.820,-5.495,-7.205,-2.641,-1.879,-1.929
DATA,49884,2.568,0.820,-17.081,-6.119,-2.854,-2.489,-2.165
DATA,49904,2.464,0.820,-21.288,-5.755,-2.960,-2.652,-2.496
DATA,49924,2.204,0.820,-21.837,-4.845,-2.943,-2.484,-2.423
DATA,49944,2.159,0.820,-28.544,-4.688,-2.893,-2.617,-2.601
DATA,49964,1.549,0.820,-25.434,-2.552,-2.667,-2.635,-2.479
DATA,49984,1.034,0.820,-21.715,-0.749,-2.458,-2.446,-2.494
DATA,50004,0.532,0.820,-19.032,1.008,-2.251,-2.133,-2.413
DATA,50024,0.297,0.820,-11.593,1.829,-2.053,-1.988,-2.177
DATA,50044,0.421,0.820,-15.983,1.397,-1.921,-2.094,-1.712
DATA,50064,0.638,0.820,-8.849,0.635,-1.776,-2.098,-1.494
DATA,50084,0.479,0.820,-25.861,1.194,-1.574,-1.363,-1.930
DATA,50104,-0.016,0.820,-27.325,2.927,-1.233,-1.801,-1.404
DATA,50124,-0.126,0.820,-6.776,3.311,-0.987,-0.655,-1.321
DATA,50144,-0.168,0.820,-31.349,3.459,-0.776,-1.442,-0.522
DATA,50164,-0.625,0.820,-21.471,5.058,-0.243,-0.575,-0.411
DATA,50184,-1.005,0.820,-10.008,6.386,0.068,-0.316,-0.591
DATA,50204,-1.130,0.820,-14.886,6.824,0.440,-0.218,-0.481
DATA,50224,-1.334,0.820,-8.483,7.540,0.821,-0.166,-0.286
DATA,50244,-1.434,0.820,1.212,7.888,1.134,0.000,0.000
DATA,50264,-1.180,0.820,11.090,6.999,1.253,1.084,0.602
