type,t_ms,roll_deg,roll_ref_deg,gx_dps,gx_ref_dps,omega_ref,omega_l,omega_r,speed_fb_mps,speed_corr_deg
DATA,146004,0.341,0.780,-17.701,1.535,-34.396,0.000,0.000,0.0256,0.000
DATA,146024,0.302,0.780,-3.372,1.673,-34.272,0.000,0.000,0.0248,0.000
DATA,146044,1.085,0.780,40.043,-1.067,-34.640,0.000,0.000,0.0202,0.000
DATA,146064,2.390,0.780,91.872,-5.635,-35.000,0.000,0.000,0.0094,0.000
DATA,146084,4.736,0.780,138.214,-13.848,-35.000,0.000,0.000,-0.0063,-0.000
DATA,146104,7.539,0.780,174.616,-23.657,-35.000,0.000,0.000,-0.0263,-0.000
DATA,146124,11.032,0.604,162.665,-36.496,-35.000,0.000,0.000,-0.0456,-0.176
DATA,146144,16.977,0.604,82.909,-57.303,-35.000,0.000,0.000,-0.0571,-0.176
DATA,146164,18.805,0.604,-4.165,-63.704,-35.000,0.000,0.000,-0.0555,-0.176
DATA,146184,18.499,0.604,-37.213,-62.633,-35.000,0.000,0.000,-0.0479,-0.176
DATA,146204,17.793,0.604,-55.811,-60.160,-35.000,0.000,0.000,-0.0380,-0.176
DATA,146224,16.783,0.780,-77.701,-56.011,-35.000,0.000,0.000,-0.0267,-0.000
DATA,146244,14.018,0.780,-108.067,-46.332,-35.000,0.000,0.000,-0.0125,-0.000
DATA,146264,10.773,0.780,-117.031,-34.975,-35.000,0.000,0.000,0.0026,0.000
DATA,146284,7.142,0.780,-98.250,-22.267,-34.800,0.000,0.000,0.0158,0.000
DATA,146304,4.810,0.780,-83.738,-14.107,-34.431,0.000,0.000,0.0256,0.000
DATA,146324,2.936,0.956,-35.567,-6.932,-34.188,0.000,0.000,0.0306,0.176
DATA,146344,1.642,0.780,7.665,-3.017,-34.346,0.000,0.000,0.0294,0.000
DATA,146364,1.262,0.780,43.457,-1.688,-34.954,0.000,0.000,0.0230,0.000
DATA,146384,1.922,0.780,50.774,-3.996,-35.000,0.000,0.000,0.0152,0.000
DATA,146404,3.334,0.780,50.652,-8.938,-35.000,0.000,0.000,0.0075,0.000
DATA,146424,4.683,0.780,38.823,-13.661,-35.000,0.000,0.000,0.0015,0.000
DATA,146444,5.757,0.780,18.884,-17.421,-35.000,0.000,0.000,-0.0020,-0.000
DATA,146464,6.363,0.780,-5.384,-19.540,-35.000,0.000,0.000,-0.0022,-0.000
DATA,146484,5.964,0.780,-31.482,-18.145,-35.000,0.000,0.000,0.0006,0.000
DATA,146504,4.226,0.780,-47.518,-12.061,-34.993,0.000,0.000,0.0059,0.000
DATA,146524,1.922,0.780,-51.482,-3.999,-34.700,0.000,0.000,0.0118,0.000
DATA,146544,-0.040,0.780,-53.433,2.869,-34.051,0.000,0.000,0.0175,0.000
DATA,146564,-1.346,0.780,-48.250,7.442,-33.161,0.000,0.000,0.0227,0.000
DATA,146584,-2.567,0.780,-18.982,11.716,-32.345,0.000,0.000,0.0253,0.000
DATA,146604,-3.725,0.780,3.701,15.768,-31.855,0.000,0.000,0.0226,0.000
DATA,146624,-3.063,0.780,0.165,13.449,-31.257,0.000,0.000,0.0212,0.000
DATA,146644,-2.552,0.780,-0.750,11.661,-30.785,0.000,0.000,0.0198,0.000
DATA,146664,-2.246,0.780,6.689,10.593,-30.432,0.000,0.000,0.0178,0.000
DATA,146684,-1.813,0.780,11.811,9.074,-30.222,0.000,0.000,0.0152,0.000
DATA,146704,-1.258,0.780,17.665,7.133,-30.169,0.000,0.000,0.0121,0.000
DATA,146724,-0.563,0.780,21.933,4.699,-30.275,0.000,0.000,0.0087,0.000
