type,t_ms,roll_deg,roll_ref_deg,gx_dps,gx_ref_dps,omega_ref,omega_l,omega_r,speed_fb_mps,speed_corr_deg
DATA,42904,0.940,0.780,-19.182,-0.561,-1.570,-1.419,-1.406,0.0091,0.000
DATA,42924,0.789,0.780,-20.951,-0.031,-1.438,-1.449,-0.692,0.0076,0.000
DATA,42944,0.320,0.780,-37.841,1.609,-1.140,-1.222,-1.759,0.0072,0.000
DATA,42964,-0.568,0.780,-31.438,4.718,-0.583,-1.307,-1.087,0.0079,0.000
DATA,42984,-1.003,0.780,4.842,6.240,-0.260,-0.559,-0.427,0.0069,0.000
DATA,43004,-0.623,0.780,18.562,4.910,-0.349,-0.311,-0.265,0.0033,0.000
DATA,43024,-0.209,0.780,19.720,3.463,-0.522,-0.215,-0.192,0.0000,0.000
DATA,43044,0.154,0.780,17.037,2.192,-0.731,-0.168,-0.173,-0.0026,-0.000
DATA,43064,0.432,0.780,10.147,1.217,-0.936,-1.059,-1.271,-0.0063,-0.000
DATA,43084,0.679,0.780,17.891,0.354,-1.185,-0.730,-0.484,-0.0100,-0.000
DATA,43104,1.314,0.780,4.842,-1.870,-1.497,-1.052,-0.340,-0.0121,-0.000
DATA,43124,0.977,0.780,-34.365,-0.689,-1.296,-1.865,-1.662,-0.0118,-0.000
DATA,43144,0.458,0.780,-16.926,1.128,-1.050,-0.682,-0.713,-0.0106,-0.000
DATA,43164,0.796,0.780,-13.877,-0.058,-0.946,-1.507,-1.534,-0.0110,-0.000
DATA,43184,0.383,0.780,-13.572,1.391,-0.663,-0.777,-0.675,-0.0099,-0.000
DATA,43204,0.467,0.780,5.818,1.096,-0.686,-0.616,-0.652,-0.0108,-0.000
DATA,43224,0.785,0.780,3.196,-0.019,-0.835,-0.329,-0.339,-0.0117,-0.000
DATA,43244,0.948,0.780,-10.158,-0.587,-0.919,-1.573,-0.250,-0.0120,-0.000
DATA,43264,0.073,0.780,-39.731,2.475,-0.462,-0.754,-1.237,-0.0102,-0.000
DATA,43284,-0.402,0.780,-13.755,4.138,-0.075,-0.363,-0.447,-0.0080,-0.000
DATA,43304,-0.611,0.780,-17.414,4.869,0.262,-0.239,-0.273,-0.0061,-0.000
DATA,43324,-0.915,0.780,-18.694,5.934,0.666,-0.178,-0.196,-0.0039,-0.000
DATA,43344,-1.370,0.780,-13.633,7.526,1.116,0.000,0.000,-0.0017,-0.000
DATA,43364,-1.229,0.780,16.793,7.033,1.305,1.072,0.997,-0.0003,-0.000
DATA,43384,-1.403,0.780,-25.585,7.640,1.660,0.804,0.438,0.0029,0.000
DATA,43404,-2.119,0.780,3.684,10.145,2.212,1.947,0.392,0.0062,0.000
DATA,43424,-1.459,0.780,55.086,7.838,1.935,1.939,2.053,0.0049,0.000
DATA,43444,-1.201,0.780,8.318,6.932,1.795,1.417,1.405,0.0051,0.000
DATA,43464,-1.300,0.780,22.159,7.281,1.830,1.339,1.329,0.0064,0.000
DATA,43484,-0.886,0.780,36.550,5.830,1.549,1.439,1.722,0.0052,0.000
DATA,43504,-0.148,0.780,38.135,3.249,1.089,1.195,1.268,0.0030,0.000
DATA,43524,0.107,0.780,25.696,2.356,0.817,0.805,1.136,0.0025,0.000
DATA,43544,0.555,0.780,22.220,0.788,0.450,0.425,0.564,0.0008,0.000
DATA,43564,0.792,0.780,12.220,-0.041,0.170,0.425,0.434,-0.0001,-0.000
DATA,43584,1.018,0.780,15.818,-0.834,-0.135,0.000,0.431,-0.0012,-0.000
DATA,43604,1.358,0.780,23.074,-2.024,-0.556,0.000,0.000,-0.0035,-0.000
DATA,43624,1.843,0.780,23.501,-3.720,-1.088,0.000,0.000,-0.0061,-0.000
DATA,43644,2.477,0.780,23.074,-5.940,-1.707,-1.423,-0.291,-0.0092,-0.000
DATA,43664,3.195,0.780,10.147,-8.454,-2.371,-1.313,-1.431,-0.0142,-0.000
DATA,43684,3.305,0.780,-31.255,-8.838,-2.652,-2.155,-1.719,-0.0149,-0.000
DATA,43704,2.783,0.780,-39.304,-7.009,-2.595,-2.158,-2.171,-0.0144,-0.000
DATA,43724,2.206,0.780,-39.731,-4.991,-2.369,-1.972,-2.125,-0.0132,-0.000
DATA,43744,1.650,0.780,-38.816,-3.045,-2.033,-1.867,-1.748,-0.0117,-0.000
DATA,43764,1.171,0.780,-43.329,-1.367,-1.638,-1.712,-1.556,-0.0099,-0.000
DATA,43784,0.765,0.780,-44.243,0.052,-1.193,-1.059,-1.361,-0.0073,-0.000
DATA,43804,0.139,0.780,-34.792,2.242,-0.668,-1.379,-0.672,-0.0047,-0.000
DATA,43824,-0.215,0.780,-28.877,3.481,-0.222,-0.472,-0.343,-0.0021,-0.000
