type,t_ms,roll_deg,roll_ref_deg,gx_dps,gx_ref_dps,omega_ref,omega_l,omega_r,speed_fb_mps,speed_corr_deg,sequence
DATA,24724,0.390160,0.780001,33.823929,1.364441,0.854998,1.150257,1.410261,0.017156,0.000000,326
DATA,24794,-0.073836,0.780001,1.445855,2.988428,0.765631,0.451989,0.417782,0.018323,0.000000,327
DATA,24864,1.312120,0.780001,12.299522,-1.862418,-0.482449,0.352957,0.302305,0.010501,0.000000,328
DATA,24934,1.336733,0.780001,-7.334640,-1.948563,-1.364521,-1.389813,-1.124289,0.004234,0.000000,329
DATA,25004,1.491387,0.780001,-2.822441,-2.489854,-1.852062,-1.165877,-1.450007,-0.004002,-0.000000,330
DATA,25074,1.101834,0.780001,-11.968790,-1.126418,-1.787057,-1.369948,-1.677538,-0.009661,-0.000000,331
DATA,25144,0.278709,0.780001,-14.346841,1.754520,-1.229146,-1.480222,-1.487460,-0.012149,-0.000000,332
DATA,25214,-0.216942,0.780001,-0.078537,3.489297,-0.687139,-0.630248,-0.531425,-0.013871,-0.000000,333
DATA,25284,-0.439496,0.780001,2.299514,4.268239,-0.228677,-0.690722,-0.768354,-0.014097,-0.000000,334
DATA,25354,-0.117410,0.780001,-15.993184,3.140938,-0.103988,-0.195074,-0.197600,-0.012947,-0.000000,335
DATA,25424,-0.440884,0.780001,-6.968786,4.273095,0.488321,-0.158075,-0.218438,-0.009864,-0.000000,336
DATA,25494,-1.037833,0.780001,-10.383422,6.362416,1.409243,0.473924,0.653438,-0.002223,-0.000000,337
DATA,25564,0.003672,0.780001,24.738556,2.717152,1.146886,1.267230,1.442980,-0.000127,-0.000000,338
DATA,25634,-0.711234,0.780001,-7.517567,5.219321,1.521424,1.453471,0.885642,0.009758,0.000000,339
DATA,25704,0.425236,0.780001,-10.749277,1.241674,0.946794,0.655765,0.671885,0.010075,0.000000,340
DATA,25774,0.484656,0.780001,24.494654,1.033707,0.786358,1.300439,1.220161,0.013635,0.000000,341
DATA,25844,-0.448177,0.780001,-14.834645,4.298621,1.227598,1.879654,0.214244,0.019014,0.000000,342
DATA,25914,0.683351,0.780001,-7.517567,0.338272,0.309630,0.538356,0.845918,0.015508,0.000000,343
DATA,25984,0.528718,0.780001,11.080009,0.879488,0.065475,0.472053,0.231977,0.012723,0.000000,344
DATA,26054,1.260401,0.780001,18.092209,-1.681403,-0.872292,0.000000,0.145489,0.006236,0.000000,345
DATA,26124,2.648991,0.780001,-21.054163,-6.541465,-2.483444,-2.190674,-0.501794,-0.006353,-0.000000,346
DATA,26194,1.274427,0.780001,-29.834660,-1.730493,-2.183935,-2.071654,-1.930476,-0.010677,-0.000000,347
DATA,26264,0.162035,0.780001,-13.432205,2.162878,-1.304261,-1.221012,-1.435579,-0.012805,-0.000000,348
DATA,26334,-0.067449,0.780001,15.775135,2.966072,-0.786272,-0.471322,-0.363151,-0.014744,-0.000000,349
DATA,26404,-0.598727,0.780001,8.945861,4.825547,0.031694,-0.324304,-0.364011,-0.012960,-0.000000,350
DATA,26474,-0.321036,0.780001,-0.749269,3.853627,0.215804,-0.123694,0.000000,-0.011761,-0.000000,351
DATA,26544,-0.607025,0.780001,-1.480977,4.854590,0.747083,0.000000,0.000000,-0.007957,-0.000000,352
DATA,26614,-0.766823,0.780001,-13.310254,5.413883,1.256344,0.263715,0.413315,-0.002242,-0.000000,353
DATA,26684,0.457471,0.780001,12.482450,1.128852,0.804645,0.933184,1.057430,-0.000507,-0.000000,354
DATA,26754,-0.259502,0.780001,33.153198,3.638260,1.134783,1.491264,0.919812,0.007822,0.000000,355
DATA,26824,-0.120091,0.780001,-11.115130,3.150321,1.249435,1.635198,0.769621,0.013374,0.000000,356
DATA,26894,0.782489,0.780001,-7.212688,-0.008711,0.582756,0.870492,0.514184,0.012764,0.000000,357
DATA,26964,-0.062957,0.780001,40.409298,2.950352,1.057333,0.793492,1.521090,0.018168,0.000000,358
DATA,27034,0.041369,0.780001,-11.237082,2.585212,0.821996,0.573667,0.527261,0.019677,0.000000,359
DATA,27104,1.365807,0.780001,14.494646,-2.050323,-0.100453,0.378790,0.802732,0.012476,0.000000,360
DATA,27174,1.316143,0.780001,-0.078537,-1.876497,-0.881056,0.000000,0.160096,0.009381,0.000000,361
DATA,27244,1.859458,0.780001,15.836111,-3.778100,-1.743958,-0.263650,-0.327154,0.000333,0.000000,362
DATA,27314,1.196081,0.780001,-11.968790,-1.456281,-1.789441,-0.736179,-1.371828,-0.004656,-0.000000,363
DATA,27384,0.368687,0.780001,-2.822441,1.439599,-1.283470,-0.869464,-1.308709,-0.007920,-0.000000,364
DATA,27454,-0.320534,0.780001,12.848303,3.851869,-0.523208,-0.354324,-0.667335,-0.008566,-0.000000,365
DATA,27524,-0.012120,0.780001,-21.420017,2.772422,-0.348427,-0.362202,-1.214337,-0.009517,-0.000000,366
DATA,27594,-0.473813,0.780001,-8.310249,4.388346,0.311920,0.000000,-0.186819,-0.006716,-0.000000,367
DATA,27664,-1.334498,0.780001,-8.554152,7.400745,1.525774,1.462892,0.929403,0.001196,0.000000,368
DATA,27734,-0.795966,0.780001,14.555621,5.515883,1.883850,0.972550,1.615006,0.006902,0.000000,369
DATA,27804,-0.087352,0.780001,10.043423,3.035735,1.644982,1.583213,1.576614,0.012153,0.000000,370
DATA,27874,0.235215,0.780001,25.104410,1.906750,1.194778,1.241375,1.372905,0.015091,0.000000,371
DATA,27944,0.313185,0.780001,3.092198,1.633854,0.783587,1.295263,0.793042,0.015759,0.000000,372
