type,t_ms,roll_deg,roll_ref_deg,gx_dps,gx_ref_dps,omega_ref,omega_l,omega_r,speed_fb_mps,speed_corr_deg,sequence
DATA,28364,-0.555252,0.780001,3.452808,4.673383,0.108391,-0.184001,-0.279467,-0.031971,0.000000,378
DATA,28434,-0.790005,0.780001,-5.205736,5.495019,0.659609,-0.095813,-0.116544,-0.024569,0.000000,379
DATA,28504,-1.072633,0.780001,5.647931,6.484218,1.367764,0.381412,0.730682,-0.015025,0.000000,380
DATA,28574,0.150280,0.780001,36.074783,2.204021,0.861691,1.421290,0.870438,-0.010949,0.000000,381
DATA,28644,-0.225738,0.780001,20.465015,3.520085,1.001975,1.088182,1.626455,-0.001863,0.000000,382
DATA,28714,0.061815,0.780001,-4.595980,2.513649,1.068564,0.550274,1.651212,0.004166,0.000000,383
DATA,28784,0.204073,0.780001,-16.120377,2.015746,0.844234,0.624649,0.394865,0.009178,0.000000,384
DATA,28854,0.162771,0.780001,40.586983,2.160305,0.561964,1.176364,0.596760,0.009763,0.000000,385
DATA,28924,0.418738,0.780001,3.818661,1.264419,-0.092210,0.170859,0.287700,0.007779,0.000000,386
DATA,28994,0.794124,0.780001,15.099157,-0.049432,-0.740131,0.092135,0.000000,0.002723,0.000000,387
DATA,29064,1.566695,0.780001,9.855251,-2.753432,-1.653492,-0.611013,-0.280256,-0.005482,0.000000,388
DATA,29134,1.317091,0.780001,-22.766726,-1.879815,-1.660756,-1.254507,-1.649266,-0.008624,0.000000,389
DATA,29204,-0.079771,0.780001,-11.669155,3.009199,-0.985953,-0.928725,-0.928971,-0.009547,0.000000,390
DATA,29274,-0.465682,0.780001,7.965006,4.359890,-0.340235,-0.412402,-0.729311,-0.009692,0.000000,391
DATA,29344,-0.134805,0.780001,-13.498425,3.201819,-0.281136,-0.870059,-0.161706,-0.011096,0.000000,392
DATA,29414,-0.145332,0.780001,-1.181342,3.238664,-0.033178,-0.185797,-0.161706,-0.010309,0.000000,393
DATA,29484,-0.449797,0.780001,-5.754517,4.304292,0.412906,-0.096383,0.000000,-0.007167,0.000000,394
DATA,29554,-0.906574,0.780001,-6.974030,5.903010,1.189633,0.570812,0.167133,-0.002293,0.000000,395
DATA,29624,-0.667280,0.780001,27.782097,5.065481,1.514550,1.864627,1.350383,0.002595,0.000000,396
DATA,29694,-0.250737,0.780001,-10.571593,3.607580,0.975765,1.277410,1.180731,0.004923,0.000000,397
DATA,29764,0.026044,0.780001,43.391865,2.638847,0.947272,1.116663,1.867363,0.008581,0.000000,398
DATA,29834,-0.510149,0.780001,-6.608176,4.515525,1.109862,0.514486,0.794303,0.012730,0.000000,399
DATA,29904,0.355473,0.780001,1.806465,1.485848,0.435778,0.329768,0.260703,0.010188,0.000000,400
DATA,29974,0.998640,0.780001,36.135761,-0.765240,-0.353804,0.290821,0.681273,0.004565,0.000000,401
DATA,30044,2.325742,0.780001,8.147934,-5.410093,-2.231912,-0.884802,-1.329598,-0.007940,0.000000,402
DATA,30114,1.785555,0.780001,-30.510633,-3.519441,-2.473802,-2.247675,-2.089908,-0.013000,0.000000,403
DATA,30184,0.431918,0.780001,-15.754523,1.218288,-1.848325,-1.745544,-1.843259,-0.016392,0.000000,404
DATA,30254,0.189628,0.780001,-8.803299,2.066304,-1.299250,-1.201307,-1.433080,-0.019755,0.000000,405
DATA,30324,0.141159,0.780001,-19.413065,2.235946,-0.884154,-1.351557,-0.969518,-0.020679,0.000000,406
DATA,30394,-0.145387,0.780001,-25.815508,3.238858,-0.462152,-1.246462,-1.181229,-0.018839,0.000000,407
DATA,30464,-0.523351,0.780001,-2.888661,4.561731,0.220513,-0.177855,-0.248964,-0.016231,0.000000,408
DATA,30534,-1.002600,0.780001,-2.827685,6.239101,1.038311,0.834816,0.788974,-0.009911,0.000000,409
DATA,30604,-0.596634,0.780001,24.672337,4.818220,1.700861,1.252374,1.992315,-0.000885,0.000000,410
DATA,30674,-0.388698,0.780001,18.391844,4.090444,1.629936,1.337605,1.679350,0.006374,0.000000,411
DATA,30744,0.244846,0.780001,27.538193,1.873042,1.209229,1.408416,1.865870,0.010577,0.000000,412
DATA,30814,0.579610,0.780001,13.391840,0.701367,0.807508,1.030715,1.220693,0.013566,0.000000,413
