type,t_ms,roll_deg,roll_ref_deg,gx_dps,gx_ref_dps,omega_ref,omega_l,omega_r,speed_fb_mps,speed_corr_deg,sequence
DATA,18984,0.434396,0.780001,-7.712445,1.209616,-5.970462,-6.214043,-5.902161,-0.181020,0.000000,244
DATA,19054,0.341982,0.780001,5.763175,1.533067,-6.059861,-6.065897,-5.695573,-0.184476,0.000000,245
DATA,19124,-0.109271,0.780001,7.592445,3.112452,-5.825448,-5.998295,-5.789831,-0.184685,0.000000,246
DATA,19194,0.340580,0.780001,-5.334394,1.537973,-5.964387,-5.988028,-6.073794,-0.186814,0.000000,247
DATA,19264,0.788846,0.780001,7.592445,-0.030960,-6.300570,-6.029307,-6.286623,-0.190432,0.000000,248
DATA,19334,0.929764,0.780001,-0.517318,-0.524172,-6.440421,-6.241759,-6.472721,-0.192155,0.000000,249
DATA,19404,0.786056,0.780001,-7.895373,-0.021195,-6.557374,-6.445888,-6.869918,-0.194420,0.000000,250
DATA,19474,0.187894,0.780001,-0.761220,2.072373,-6.422716,-6.178376,-6.349376,-0.196761,0.000000,251
DATA,19544,0.425793,0.780001,4.726589,1.239725,-6.450732,-6.272534,-6.283801,-0.199398,0.000000,252
DATA,19614,0.257658,0.780001,3.141222,1.828199,-6.548228,-6.692503,-6.445888,-0.200674,0.000000,253
DATA,19684,0.668497,0.780001,-7.041713,0.390263,-6.652463,-6.511877,-6.744108,-0.202522,0.000000,254
DATA,19754,0.103557,0.780001,6.860737,2.367554,-6.738554,-6.816377,-6.533157,-0.205835,0.000000,255
DATA,19824,-0.004788,0.780001,3.690003,2.746759,-6.932018,-7.014548,-6.731132,-0.209677,0.000000,256
DATA,19894,0.248593,0.780001,4.604638,1.859926,-6.724400,-6.897006,-6.588523,-0.211210,0.000000,257
DATA,19964,0.886194,0.780001,-4.785614,-0.371676,-6.973301,-7.014548,-6.737614,-0.213450,0.000000,258
DATA,20034,1.254125,0.780001,-9.663667,-1.659437,-7.254188,-7.183790,-7.217134,-0.215119,0.000000,259
DATA,20104,-0.411559,0.780001,-0.334391,4.170459,-6.661596,-6.869918,-6.585423,-0.213603,0.000000,260
DATA,20174,0.106357,0.780001,2.775368,2.357753,-6.510817,-6.514909,-6.657480,-0.213284,0.000000,261
DATA,20244,0.355834,0.780001,-7.468543,1.484584,-6.861212,-6.763665,-7.125267,-0.215152,0.000000,262
DATA,20314,1.012905,0.780001,1.494879,-0.815164,-6.985864,-6.829684,-6.829684,-0.216248,0.000000,263
DATA,20384,0.332300,0.780001,-5.029516,1.566953,-6.817186,-6.576139,-6.708544,-0.215018,0.000000,264
DATA,20454,-0.177361,0.780001,7.897323,3.350765,-6.534274,-6.410455,-6.651151,-0.214515,0.000000,265
DATA,20524,-0.293827,0.780001,-5.090492,3.758396,-6.522302,-6.780050,-6.511877,-0.214261,0.000000,266
DATA,20594,0.241682,0.780001,4.665613,1.884115,-6.588684,-6.663821,-6.629097,-0.214824,0.000000,267
DATA,20664,0.054859,0.780001,7.409518,2.537996,-6.547880,-6.261308,-6.419277,-0.214360,0.000000,268
DATA,20734,0.107060,0.780001,1.372928,2.355293,-6.782959,-6.651151,-6.863179,-0.214897,0.000000,269
DATA,20804,0.647813,0.780001,-16.188061,0.462657,-6.887854,-6.786626,-7.092764,-0.214137,0.000000,270
DATA,20874,0.206680,0.780001,1.677806,2.006622,-6.550475,-6.407519,-6.823025,-0.211963,0.000000,271
DATA,20944,-0.356197,0.780001,7.165616,3.976690,-6.116262,-5.932184,-6.337873,-0.208611,0.000000,272
DATA,21014,-1.006672,0.780001,-3.566100,6.253355,-5.598042,-5.770731,-5.645028,-0.204611,0.000000,273
DATA,21084,-0.155164,0.780001,11.433910,3.273077,-5.676909,-5.737607,-5.494316,-0.203010,0.000000,274
DATA,21154,0.680645,0.780001,13.202206,0.347746,-5.917433,-5.937218,-5.573088,-0.200458,0.000000,275
DATA,21224,0.163958,0.780001,-8.810007,2.156151,-5.956962,-6.110927,-5.995725,-0.197225,0.000000,276
DATA,21294,1.374574,0.780001,-2.773417,-2.081007,-6.331358,-6.219566,-5.995725,-0.196205,0.000000,277
DATA,21364,-0.025572,0.780001,-1.127074,2.819504,-5.932026,-5.957439,-6.140422,-0.192180,0.000000,278
DATA,21434,-0.906402,0.780001,0.031463,5.902410,-5.353367,-5.718849,-5.367865,-0.188620,0.000000,279
DATA,21504,-0.715053,0.780001,7.165616,5.232688,-5.255324,-5.268834,-5.428247,-0.187360,0.000000,280
DATA,21574,-0.382982,0.780001,10.092446,4.070438,-5.161326,-5.050170,-5.227502,-0.184340,0.000000,281
DATA,21644,1.265236,0.780001,-5.029516,-1.698326,-5.502143,-5.546581,-5.329026,-0.182308,0.000000,282
DATA,21714,-0.274213,0.780001,0.763171,3.689748,-5.321782,-5.361694,-5.386460,-0.179275,0.000000,283
DATA,21784,0.134147,0.780001,3.019271,2.260486,-5.385911,-5.304785,-5.304785,-0.178698,0.000000,284
DATA,21854,0.640052,0.780001,-0.639269,0.489819,-5.610264,-5.308810,-5.626869,-0.178743,0.000000,285
DATA,21924,0.451132,0.780001,-5.761224,1.151040,-5.579585,-5.447265,-5.716513,-0.176461,0.000000,286
DATA,21994,0.146916,0.780001,-5.944151,2.215796,-5.337932,-5.396846,-5.310825,-0.175152,0.000000,287
DATA,22064,0.512338,0.780001,7.531469,0.936819,-5.275645,-5.101721,-5.296753,-0.174917,0.000000,288
DATA,22134,0.380902,0.780001,-8.749032,1.396845,-5.238014,-5.365806,-5.481404,-0.172106,0.000000,289
DATA,22204,0.119785,0.780001,-1.980733,2.310754,-5.109310,-5.057471,-5.365806,-0.170291,0.000000,290
DATA,22274,-0.417565,0.780001,6.433908,4.191481,-4.720965,-4.646090,-4.987179,-0.166974,0.000000,291
DATA,22344,0.679740,0.780001,0.214390,0.350911,-5.129226,-5.061130,-5.099862,-0.168066,0.000000,292
DATA,22414,0.603638,0.780001,2.836344,0.617269,-5.166609,-5.072136,-5.133537,-0.166560,0.000000,293
DATA,22484,0.274375,0.780001,-2.956344,1.769689,-5.066712,-5.251041,-4.927473,-0.165440,0.000000,294
DATA,22554,0.001449,0.780001,0.641220,2.724931,-4.977780,-4.896439,-5.148647,-0.164467,0.000000,295
DATA,22624,-0.120788,0.780001,2.165612,3.152759,-4.875144,-5.035633,-4.807291,-0.163125,0.000000,296
DATA,22694,0.403650,0.780001,-2.590490,1.317226,-5.019882,-5.152439,-4.893015,-0.163035,0.000000,297
DATA,22764,-0.237905,0.780001,-1.553904,3.562669,-4.812235,-4.771232,-4.925739,-0.160838,0.000000,298
DATA,22834,0.384772,0.780001,0.092439,1.383300,-4.836203,-4.848934,-4.815562,-0.159837,0.000000,299
DATA,22904,0.055507,0.780001,2.470490,2.535726,-4.712469,-4.852296,-4.711792,-0.157573,0.000000,300
DATA,22974,0.394398,0.780001,0.153415,1.349609,-4.878911,-4.948381,-4.742129,-0.157092,0.000000,301
DATA,23044,-0.031204,0.780001,1.311952,2.839216,-4.705041,-4.771232,-4.697557,-0.155761,0.000000,302
DATA,23114,0.480191,0.780001,-1.127074,1.049332,-4.728882,-4.830522,-4.799047,-0.154646,0.000000,303
DATA,23184,-0.143333,0.780001,4.787565,3.231666,-4.453722,-4.427087,-4.313818,-0.152032,0.000000,304
DATA,23254,0.590002,0.780001,-1.127074,0.664996,-4.549840,-4.406178,-4.585197,-0.151010,0.000000,305
DATA,23324,-0.084839,0.780001,10.763179,3.026937,-4.363760,-4.366310,-4.468079,-0.148505,0.000000,306
DATA,23394,0.819937,0.780001,-9.846594,-0.139778,-4.605882,-4.722924,-4.492463,-0.147432,0.000000,307
DATA,23464,0.111324,0.780001,2.958295,2.340369,-4.127293,-4.245759,-4.250918,-0.142308,0.000000,308
DATA,23534,0.179183,0.780001,1.555855,2.102863,-3.972744,-3.994868,-4.062126,-0.139282,0.000000,309
DATA,23604,-0.791750,0.780001,3.019271,5.501129,-3.521213,-3.572638,-3.676832,-0.134394,0.000000,310
DATA,23674,-0.228350,0.780001,2.592441,3.529228,-3.686462,-3.621641,-3.817246,-0.134015,0.000000,311
DATA,23744,-0.456486,0.780001,-2.529514,4.327704,-3.513226,-3.521395,-3.794475,-0.129722,0.000000,312
DATA,23814,-0.006321,0.780001,4.299759,2.752124,-3.539919,-3.543688,-3.690407,-0.128006,0.000000,313
DATA,23884,0.645975,0.780001,-3.870979,0.469091,-3.717125,-3.687490,-3.717860,-0.126097,0.000000,314
DATA,23954,-0.121839,0.780001,5.397321,3.156439,-3.403790,-3.305935,-3.533844,-0.121753,0.000000,315
DATA,24024,0.034699,0.780001,1.068050,2.608557,-3.392492,-3.549080,-3.281900,-0.120064,0.000000,316
DATA,24094,0.107799,0.780001,-3.139271,2.352704,-3.474138,-3.399909,-3.687490,-0.118319,0.000000,317
DATA,24164,0.389029,0.780001,0.641220,1.368401,-3.620657,-3.612293,-3.672008,-0.118207,0.000000,318
DATA,24234,0.506423,0.780001,-4.480735,0.957523,-3.693090,-3.716872,-3.711942,-0.117180,0.000000,319
DATA,24304,-0.228666,0.780001,7.165616,3.530331,-3.365576,-3.403215,-3.481100,-0.114375,0.000000,320
DATA,24374,0.181779,0.780001,1.494879,2.093776,-3.527153,-3.583616,-3.421522,-0.115073,0.000000,321
DATA,24444,-0.111081,0.780001,-6.370981,3.118787,-3.446282,-3.502008,-3.532952,-0.113812,0.000000,322
DATA,24514,0.058592,0.780001,7.897323,2.524929,-3.475791,-3.394136,-3.564448,-0.115011,0.000000,323
DATA,24584,0.231722,0.780001,6.433908,1.918973,-3.728144,-3.636700,-3.728756,-0.117099,0.000000,324
DATA,24654,0.761080,0.780001,8.507079,0.066223,-4.005025,-3.788312,-3.891552,-0.119483,0.000000,325
DATA,24724,1.325011,0.780001,-2.163660,-1.907535,-4.383883,-4.408955,-4.009749,-0.122665,0.000000,326
