type,t_ms,roll_deg,roll_ref_deg,gx_dps,gx_ref_dps,omega_ref,omega_l,omega_r,speed_fb_mps,speed_corr_deg,sequence
DATA,17234,0.315156,0.300000,-7.455981,-0.053046,-1.779469,-1.353911,-1.851551,-0.012651,0.000000,219
DATA,17304,0.512822,0.300000,3.397686,-0.744876,-1.632122,-1.262429,-1.521586,-0.019457,0.000000,220
DATA,17374,0.495465,0.300000,4.068418,-0.684127,-1.530133,-1.088775,-1.193622,-0.023898,0.000000,221
DATA,17444,0.336613,0.300000,3.336710,-0.128143,-1.076835,-1.037901,-1.102152,-0.024113,0.000000,222
DATA,17514,-0.103432,0.300000,-4.834028,1.412013,-0.591158,-0.597066,-0.535779,-0.021982,0.000000,223
DATA,17584,-0.839547,0.300000,-14.712084,3.988417,0.212208,-0.283343,-0.871684,-0.017274,0.000000,224
DATA,17654,-0.973210,0.300000,-1.053537,4.456236,1.194281,0.948876,0.229222,-0.010093,0.000000,225
DATA,17724,-0.595952,0.300000,14.800134,3.135833,1.436529,0.939385,1.138837,-0.002864,0.000000,226
DATA,17794,-0.291604,0.300000,2.239148,2.070613,1.535408,1.993735,1.178246,0.006292,0.000000,227
DATA,17864,-0.417549,0.300000,-5.016955,2.511423,1.635844,0.770426,1.362479,0.014407,0.000000,228
DATA,17934,-1.085059,0.300000,-17.699892,4.847708,1.875755,0.915420,1.804749,0.022065,0.000000,229
DATA,18004,-0.155443,0.300000,-5.931590,1.594051,1.455056,1.640373,0.983417,0.023548,0.000000,230
DATA,18074,0.020369,0.300000,-2.212075,0.978709,1.187347,1.039520,0.879132,0.025858,0.000000,231
DATA,18144,0.226285,0.300000,14.861111,0.258005,0.518182,0.658109,0.346061,0.021919,0.000000,232
DATA,18214,0.406724,0.300000,6.324517,-0.373534,0.026848,0.000000,0.300056,0.018458,0.000000,233
DATA,18284,1.495055,0.300000,24.556238,-4.182691,-1.382961,0.000000,0.000000,0.007380,0.000000,234
DATA,18354,1.782985,0.300000,-16.663305,-5.190447,-2.364457,-1.797562,-2.266238,-0.004175,0.000000,235
DATA,18424,1.084150,0.300000,-17.455990,-2.744525,-2.330467,-1.959673,-2.321503,-0.013512,0.000000,236
DATA,18494,0.579867,0.300000,-17.638918,-0.979534,-1.977951,-1.977674,-2.057037,-0.020459,0.000000,237
DATA,18564,0.122895,0.300000,-1.968172,0.619870,-1.434027,-1.315722,-1.586084,-0.024520,0.000000,238
DATA,18634,0.225287,0.300000,-33.126732,0.261497,-1.104534,-1.718112,-1.814813,-0.026051,0.000000,239
DATA,18704,0.729737,0.300000,-17.395014,-1.504078,-0.878675,-0.856375,-1.858189,-0.025175,0.000000,240
