type,t_ms,roll_deg,roll_ref_deg,gx_dps,gx_ref_dps,omega_ref,omega_l,omega_r,speed_fb_mps,speed_corr_deg,sequence
DATA,18914,0.079145,0.300000,29.487947,0.839251,1.026545,1.440900,0.681937,0.018883,0.000000,243
DATA,18984,-0.651444,0.300000,31.805025,3.615490,1.227611,1.000216,1.737093,0.022136,0.000000,244
DATA,19054,0.369745,0.300000,32.292828,-0.265030,0.513739,1.141251,1.298267,0.018622,0.000000,245
DATA,19124,0.464663,0.300000,13.024523,-0.625719,-0.083431,0.184635,0.173515,0.014060,0.000000,246
DATA,19194,1.747009,0.300000,27.963558,-5.498635,-1.762111,-1.445813,-1.504734,0.000953,0.000000,247
DATA,19264,2.020149,0.300000,-10.938911,-6.536566,-2.691821,-1.851061,-2.085858,-0.011468,0.000000,248
DATA,19334,0.910816,0.300000,-16.609648,-2.321102,-2.367300,-2.444798,-1.957754,-0.017462,0.000000,249
DATA,19404,0.105634,0.300000,-17.036478,0.738591,-1.767200,-1.788602,-1.694192,-0.023023,0.000000,250
DATA,19474,0.548796,0.300000,-15.755988,-0.945424,-1.465703,-1.758927,-1.442832,-0.025844,0.000000,251
DATA,19544,-0.340943,0.300000,-16.853552,2.435583,-0.697999,-0.704563,-1.100159,-0.023238,0.000000,252
DATA,19614,-0.202892,0.300000,-6.731590,1.910989,-0.642565,-0.419359,-1.173011,-0.025108,0.000000,253
DATA,19684,-0.751215,0.300000,16.195257,3.994618,-0.168195,-0.512545,-0.195273,-0.023751,0.000000,254
DATA,19754,-0.085840,0.300000,-17.280380,1.466194,-0.725422,-1.073408,-1.197913,-0.026356,0.000000,255
DATA,19824,0.639625,0.300000,25.158678,-1.290573,-1.107411,-0.391649,-0.925837,-0.029820,0.000000,256
DATA,19894,1.180767,0.300000,-1.304757,-3.346913,-1.444952,-0.756802,-1.046047,-0.030049,0.000000,257
DATA,19964,-0.017977,0.300000,-30.024292,1.208315,-0.957725,-1.217825,-0.958692,-0.026171,0.000000,258
DATA,20034,-0.063103,0.300000,2.048904,1.379793,-0.312387,-0.259495,-0.314148,-0.022431,0.000000,259
DATA,20104,-0.259031,0.300000,-10.695007,2.124319,0.196187,-0.112922,-0.346919,-0.015910,0.000000,260
DATA,20174,-0.564225,0.300000,-17.097454,3.284057,1.471952,1.105985,1.232845,-0.004562,0.000000,261
DATA,20244,-0.837735,0.300000,-5.024272,4.323392,1.995520,1.231001,1.650823,0.005062,0.000000,262
DATA,20314,-0.523359,0.300000,29.000143,3.128765,1.762839,1.787231,1.341195,0.011616,0.000000,263
DATA,20384,-0.145271,0.300000,25.463556,1.692032,1.120044,1.269299,0.997863,0.013685,0.000000,264
DATA,20454,0.616599,0.300000,20.463552,-1.203075,0.471429,1.477098,0.557975,0.012468,0.000000,265
DATA,20524,0.350724,0.300000,-0.024268,-0.192749,0.632005,0.248174,0.188790,0.015542,0.000000,266
DATA,20594,0.507327,0.300000,-7.341347,-0.787841,0.607087,0.258890,0.320758,0.019327,0.000000,267
DATA,20664,-0.324942,0.300000,-19.414528,2.374779,1.139052,0.370634,0.414748,0.024983,0.000000,268
DATA,20734,-0.821105,0.300000,3.451344,4.260198,1.459806,1.227869,1.452868,0.026626,0.000000,269
DATA,20804,0.018677,0.300000,12.353790,1.069026,1.003508,1.131653,1.313376,0.024866,0.000000,270
DATA,20874,0.738726,0.300000,3.817198,-1.667160,0.327684,0.000000,0.464871,0.020727,0.000000,271
DATA,20944,-0.036354,0.300000,-14.780377,1.278146,1.052048,0.348656,1.882688,0.026332,0.000000,272
DATA,21014,0.899376,0.300000,-21.792580,-2.277627,0.420518,0.267746,0.213096,0.024793,0.000000,273
DATA,21084,-0.236566,0.300000,-9.841349,2.038953,1.028137,0.554592,0.452237,0.028603,0.000000,274
DATA,21154,-0.894287,0.300000,8.207446,4.538291,1.092055,1.344933,1.352080,0.026969,0.000000,275
DATA,21224,0.254542,0.300000,25.951363,0.172742,0.288310,0.772766,0.787464,0.019277,0.000000,276
DATA,21294,0.937347,0.300000,23.268435,-2.421919,-0.710153,0.179252,0.159669,0.011419,0.000000,277
DATA,21364,2.116955,0.300000,-13.621840,-6.904426,-2.440360,-1.545959,-1.909925,-0.003974,0.000000,278
