type,t_ms,roll_deg,roll_ref_deg,gx_dps,gx_ref_dps,omega_ref,omega_l,omega_r,speed_fb_mps,speed_corr_deg,sequence
DATA,28014,0.369425,0.300000,9.392323,-0.242987,1.626900,1.752759,2.102783,0.054371,0.000000,373
DATA,28084,0.388110,0.300000,-4.449150,-0.308384,1.215091,1.242698,1.777470,0.052523,0.000000,374
DATA,28154,0.451753,0.300000,-18.778429,-0.531134,1.129746,0.533329,0.718416,0.049885,0.000000,375
DATA,28224,1.331170,0.300000,-23.412580,-3.609095,0.465097,0.975533,0.327353,0.044746,0.000000,376
DATA,28294,0.665565,0.300000,23.904531,-1.279478,0.481233,1.184629,0.871902,0.041126,0.000000,377
DATA,28364,0.158919,0.300000,-14.083303,0.493784,0.610881,0.195104,0.162621,0.037798,0.000000,378
DATA,28434,0.759275,0.300000,-8.351592,-1.607462,0.099413,0.530077,0.312429,0.031820,0.000000,379
DATA,28504,-0.188834,0.300000,-8.656470,1.710921,0.606555,0.145174,0.699317,0.030300,0.000000,380
DATA,28574,0.279530,0.300000,-5.119882,0.071644,0.139912,0.317901,0.250807,0.024198,0.000000,381
DATA,28644,0.284254,0.300000,5.794761,0.055111,-0.008661,0.122736,0.111246,0.018839,0.000000,382
DATA,28714,1.026113,0.300000,12.136230,-2.541394,-0.793149,0.000000,0.071483,0.011119,0.000000,383
DATA,28784,2.023963,0.300000,-13.961353,-6.033869,-1.672993,-1.799180,-0.652432,0.002987,0.000000,384
DATA,28854,1.400026,0.300000,-39.327229,-3.850091,-1.454408,-1.333526,-1.653944,0.000553,0.000000,385
DATA,28924,0.054257,0.300000,-8.595495,0.860102,-0.816347,-0.601170,-0.640781,-0.000337,0.000000,386
DATA,28994,-0.982547,0.300000,-20.180870,4.488914,0.356060,-0.533288,-0.290495,0.001924,0.000000,387
DATA,29064,-1.510074,0.300000,2.441100,6.335261,1.612960,0.734980,0.774691,0.006728,0.000000,388
DATA,29134,-0.743014,0.300000,13.294766,3.650551,1.804783,1.498931,1.391748,0.010605,0.000000,389
DATA,29204,-0.646773,0.300000,3.782564,3.313707,1.744701,1.281739,1.333145,0.015550,0.000000,390
DATA,29274,0.100795,0.300000,26.099655,0.697217,1.075052,1.376281,1.415826,0.015276,0.000000,391
DATA,29344,0.506220,0.300000,7.258176,-0.721769,0.560159,0.557287,0.483637,0.015047,0.000000,392
DATA,29414,-0.058132,0.300000,7.563055,1.253464,0.624750,1.570774,0.675061,0.017265,0.000000,393
DATA,29484,0.789617,0.300000,-14.327208,-1.713659,0.022253,0.233530,0.000000,0.016246,0.000000,394
DATA,29554,-0.241542,0.300000,-17.436966,1.895396,0.773382,0.107601,0.232085,0.019762,0.000000,395
DATA,29624,0.047367,0.300000,-4.205247,0.884216,1.036524,1.328336,0.851270,0.021897,0.000000,396
DATA,29694,-0.003305,0.300000,23.965506,1.061568,1.278757,1.717058,2.088037,0.026053,0.000000,397
DATA,29764,0.233225,0.300000,12.928912,0.233714,1.131533,1.611658,0.953596,0.028434,0.000000,398
DATA,29834,-1.078765,0.300000,24.209410,4.825680,2.050947,2.326134,2.150280,0.035820,0.000000,399
DATA,29904,-0.658792,0.300000,21.099649,3.355772,1.561079,1.375875,1.794335,0.033833,0.000000,400
DATA,29974,0.500007,0.300000,17.075258,-0.700022,0.504948,1.093796,0.805875,0.026994,0.000000,401
DATA,30044,0.925138,0.300000,12.928912,-2.187981,-0.478201,0.177648,0.212005,0.019195,0.000000,402
DATA,30114,1.493929,0.300000,12.319156,-4.178751,-2.059711,-0.802088,-0.990447,0.004819,0.000000,403
DATA,30184,1.644012,0.300000,-6.461347,-4.704041,-2.796463,-2.196519,-2.123202,-0.009114,0.000000,404
DATA,30254,1.737956,0.300000,-24.449165,-5.032845,-3.071242,-2.555986,-2.783218,-0.021021,0.000000,405
DATA,30324,0.795030,0.300000,-22.132092,-1.732603,-2.403386,-2.278044,-2.194453,-0.026180,0.000000,406
DATA,30394,0.001991,0.300000,-13.107694,1.043033,-1.576134,-1.613144,-1.961321,-0.027924,0.000000,407
DATA,30464,-0.779892,0.300000,5.245979,3.779624,-0.880914,-0.930083,-1.279746,-0.028800,0.000000,408
DATA,30534,-0.730589,0.300000,-10.302813,3.607061,-0.825655,-0.520534,-1.415253,-0.030852,0.000000,409
DATA,30604,-0.886395,0.300000,-5.119882,4.152382,-0.339038,-0.723579,-0.659940,-0.029555,0.000000,410
DATA,30674,0.000931,0.300000,-6.949152,1.046744,-0.315706,-0.599470,-0.536190,-0.026784,0.000000,411
DATA,30744,-0.232982,0.300000,-3.900369,1.865437,0.072863,-0.160541,-0.270950,-0.021825,0.000000,412
DATA,30814,-0.756108,0.300000,-12.680863,3.696378,0.820704,-0.088962,-0.114909,-0.014126,0.000000,413
DATA,30884,-1.364393,0.300000,28.782583,5.825378,1.848979,1.863633,1.184729,-0.003188,0.000000,414
DATA,30954,-0.883961,0.300000,19.148430,4.143864,1.852805,1.314734,1.732577,0.003720,0.000000,415
DATA,31024,-0.124409,0.300000,25.794775,1.485432,1.198175,0.722608,1.490470,0.006689,0.000000,416
DATA,31094,0.915190,0.300000,-3.412564,-2.153164,0.300379,0.385606,0.865003,0.006794,0.000000,417
DATA,31164,0.421748,0.300000,-0.912562,-0.426118,0.322745,0.173258,0.654967,0.010071,0.000000,418
DATA,31234,0.666544,0.300000,0.672805,-1.282902,-0.101504,0.283303,0.161411,0.009654,0.000000,419
DATA,31304,0.810809,0.300000,4.148417,-1.787829,-0.572398,0.117224,0.000000,0.007304,0.000000,420
DATA,31374,1.187856,0.300000,-2.193050,-3.107497,-1.317378,-0.480894,-0.308926,0.001247,0.000000,421
DATA,31444,0.126748,0.300000,11.343545,0.606382,-0.859777,-0.271029,-0.323262,-0.001186,0.000000,422
DATA,31514,-0.024704,0.300000,2.806953,1.136466,-0.651652,-0.418457,-0.387947,-0.004139,0.000000,423
DATA,31584,0.614168,0.300000,-10.058910,-1.099587,-1.033084,-0.612269,-0.801490,-0.010041,0.000000,424
DATA,31654,0.374920,0.300000,9.636228,-0.262220,-0.953923,-0.592390,-0.473011,-0.011420,0.000000,425
DATA,31724,-0.619479,0.300000,5.185004,3.218176,0.047229,-0.352948,0.000000,-0.008136,0.000000,426
DATA,31794,-0.581243,0.300000,-10.729643,3.084352,0.599039,-0.127627,0.000000,-0.004836,0.000000,427
DATA,31864,-0.779021,0.300000,-14.632086,3.776576,1.341429,0.378074,0.675452,0.000989,0.000000,428
DATA,31934,-1.002124,0.300000,13.843547,4.557435,1.900886,1.648878,1.434696,0.008325,0.000000,429
DATA,32004,-0.732790,0.300000,20.245991,3.614764,1.526847,1.460144,1.439862,0.010770,0.000000,430
DATA,32074,0.179539,0.300000,8.233788,0.421615,0.966196,0.750229,0.838116,0.011935,0.000000,431
DATA,32144,0.645342,0.300000,0.428903,-1.208696,0.663658,0.425299,0.523376,0.013989,0.000000,432
DATA,32214,0.520893,0.300000,-19.510136,-0.773125,0.494446,0.290966,0.201408,0.016223,0.000000,433
