type,t_ms,roll_deg,roll_ref_deg,gx_dps,gx_ref_dps,omega_ref,omega_l,omega_r,speed_fb_mps,speed_corr_deg,sequence
DATA,32004,0.630102,0.300000,-3.031832,-1.155355,-0.030676,0.280481,0.246612,0.022567,0.000000,430
DATA,32074,0.580958,0.300000,1.602318,-0.983352,-0.254746,0.116722,0.110411,0.018566,0.000000,431
DATA,32144,0.943259,0.300000,4.834028,-2.251404,-0.805671,0.000000,-0.811483,0.012494,0.000000,432
DATA,32214,0.872837,0.300000,-39.495274,-2.004930,-1.167521,-1.470269,-1.798949,0.005651,0.000000,433
DATA,32284,0.339621,0.300000,-0.897684,-0.138671,-0.788929,-0.261068,-0.325677,0.002054,0.000000,434
DATA,32354,-0.421170,0.300000,1.175489,2.524095,-0.306281,-0.510526,-0.440424,-0.000982,0.000000,435
DATA,32424,0.043422,0.300000,-0.044024,0.898023,-0.442514,-0.776324,-1.000073,-0.004960,0.000000,436
DATA,32494,0.365373,0.300000,8.126713,-0.228804,-0.655374,-0.208201,-0.277648,-0.008834,0.000000,437
DATA,32564,0.466838,0.300000,13.248670,-0.583933,-0.833320,0.000000,-0.205601,-0.011463,0.000000,438
DATA,32634,0.563446,0.300000,-33.641613,-0.922061,-0.809005,-1.518613,-1.597856,-0.011218,0.000000,439
DATA,32704,0.664045,0.300000,-12.361107,-1.274158,-0.714440,-0.776066,-0.277670,-0.011725,0.000000,440
DATA,32774,-0.662383,0.300000,-18.824528,3.368341,0.760011,0.000000,0.000000,-0.003292,0.000000,441
DATA,32844,-1.522869,0.300000,1.724270,6.380044,1.901244,1.353518,1.085734,0.005922,0.000000,442
DATA,32914,-0.939522,0.300000,15.382817,4.338329,1.938713,1.621367,1.693782,0.010629,0.000000,443
DATA,32984,-0.282349,0.300000,2.334026,2.038221,1.562693,1.305413,1.216977,0.015163,0.000000,444
DATA,33054,-0.376479,0.300000,13.980376,2.367679,1.129235,1.527899,1.085650,0.017327,0.000000,445
DATA,33124,0.062349,0.300000,13.614523,0.831778,0.664206,0.720599,0.586309,0.015062,0.000000,446
DATA,33194,0.794662,0.300000,19.224285,-1.731317,-0.581117,0.310661,0.246773,0.008669,0.000000,447
DATA,33264,2.447722,0.300000,-10.592813,-7.517026,-2.465952,-1.780410,-2.090532,-0.005377,0.000000,448
DATA,33334,1.779319,0.300000,-20.836721,-5.177616,-2.814148,-2.480330,-2.473316,-0.015301,0.000000,449
DATA,33404,0.728131,0.300000,-12.970864,-1.498456,-2.557483,-2.220921,-2.494034,-0.024340,0.000000,450
DATA,33474,0.641171,0.300000,-16.324524,-1.194099,-2.139245,-2.274711,-1.952291,-0.030473,0.000000,451
DATA,33544,-0.371493,0.300000,-3.641588,2.350225,-1.578989,-1.795487,-2.067675,-0.034368,0.000000,452
DATA,33614,0.015696,0.300000,4.468174,0.995066,-1.592566,-1.619678,-1.471816,-0.039453,0.000000,453
DATA,33684,0.556207,0.300000,-13.824523,-0.896725,-1.807555,-1.932609,-1.964901,-0.043582,0.000000,454
DATA,33754,-0.148945,0.300000,-12.970864,1.571307,-1.270697,-1.207214,-1.665955,-0.041020,0.000000,455
DATA,33824,0.273330,0.300000,1.480367,0.093346,-1.010343,-0.447322,-0.530760,-0.038621,0.000000,456
DATA,33894,-0.544922,0.300000,-9.495251,2.957227,-0.157622,-0.333310,-0.429686,-0.029811,0.000000,457
DATA,33964,-1.390321,0.300000,-30.714781,5.916124,1.343318,0.000000,0.000000,-0.015893,0.000000,458
DATA,34034,-2.117517,0.300000,18.126722,8.461310,2.999002,2.303164,2.457247,0.001998,0.000000,459
DATA,34104,-1.250981,0.300000,18.065748,5.428433,3.118574,2.821376,2.987622,0.015348,0.000000,460
DATA,34174,-1.129346,0.300000,20.870626,5.002711,2.950203,2.862349,2.836818,0.027088,0.000000,461
DATA,34244,0.262057,0.300000,12.029156,0.132802,2.156804,2.211445,2.491813,0.032722,0.000000,462
DATA,34314,-0.234563,0.300000,9.468178,1.870973,2.234306,2.264772,2.447363,0.041992,0.000000,463
DATA,34384,-0.044224,0.300000,9.041349,1.204786,2.049447,1.909925,2.172985,0.046147,0.000000,464
DATA,34454,-0.194892,0.300000,18.553551,1.732124,1.759437,1.657667,1.984968,0.046608,0.000000,465
DATA,34524,0.746082,0.300000,9.590129,-1.561288,0.877657,1.304318,1.303589,0.041047,0.000000,466
DATA,34594,1.288462,0.300000,-10.287934,-3.459616,0.134745,0.306376,0.306443,0.035033,0.000000,467
DATA,34664,0.920009,0.300000,-7.483055,-2.170029,0.073808,0.120838,0.146882,0.031655,0.000000,468
DATA,34734,0.725652,0.300000,-7.422079,-1.489783,0.058835,0.075315,0.084673,0.027640,0.000000,469
DATA,34804,0.431649,0.300000,-8.397690,-0.460769,0.215737,0.057626,0.059481,0.024723,0.000000,470
DATA,34874,0.027703,0.300000,-3.397686,0.953039,0.539246,0.214626,1.441197,0.023822,0.000000,471
DATA,34944,-0.265117,0.300000,-11.019642,1.977911,0.927568,0.277208,0.191222,0.025865,0.000000,472
DATA,35014,-0.619004,0.300000,-14.373303,3.216515,1.136431,0.408525,0.555340,0.026309,0.000000,473
DATA,35084,0.018503,0.300000,21.724287,0.985240,0.814602,1.151866,1.740767,0.023039,0.000000,474
DATA,35154,-0.094002,0.300000,7.760860,1.379007,0.513096,0.215273,0.216679,0.019533,0.000000,475
DATA,35224,1.363194,0.300000,14.224279,-3.721177,-1.167585,0.000000,0.000000,0.007739,0.000000,476
DATA,35294,1.608019,0.300000,3.614515,-4.578065,-2.126993,-1.260382,-1.728724,-0.003083,0.000000,477
DATA,35364,1.530532,0.300000,-19.617210,-4.306862,-2.139531,-2.246592,-1.990615,-0.009942,0.000000,478
DATA,35434,-0.154542,0.300000,-19.373306,1.590898,-1.369910,-1.898525,-1.540513,-0.012697,0.000000,479
DATA,35504,-0.488977,0.300000,-1.141586,2.761419,-1.099767,-0.543267,-1.543572,-0.018982,0.000000,480
DATA,35574,0.153473,0.300000,39.895031,0.512845,-1.503783,-0.977168,-0.873916,-0.027764,0.000000,481
DATA,35644,1.115864,0.300000,-6.385493,-2.855523,-2.069830,-2.009192,-1.481006,-0.034795,0.000000,482
DATA,35714,0.572052,0.300000,-10.592813,-0.952180,-1.840561,-1.689691,-1.831918,-0.036502,0.000000,483
DATA,35784,0.800830,0.300000,-24.129408,-1.752905,-1.707152,-1.979073,-1.357457,-0.038339,0.000000,484
DATA,35854,-0.058189,0.300000,-20.409893,1.253664,-0.960776,-1.423893,-0.795477,-0.033699,0.000000,485
DATA,35924,-0.575705,0.300000,-11.080619,3.064968,-0.413756,-0.999930,-0.736179,-0.029903,0.000000,486
DATA,35994,-1.319438,0.300000,15.199891,5.668033,0.196325,-0.170838,-0.268708,-0.026999,0.000000,487
DATA,36064,-0.459369,0.300000,29.163317,2.657791,-0.434991,-0.092119,-0.114633,-0.030779,0.000000,488
DATA,36134,0.954047,0.300000,12.273059,-2.289164,-1.789521,-1.001935,-1.510907,-0.037629,0.000000,489
DATA,36204,0.910719,0.300000,-11.446472,-2.137516,-1.915155,-2.001434,-1.486038,-0.038866,0.000000,490
DATA,36274,0.317794,0.300000,-18.458673,-0.062279,-1.558262,-1.779278,-1.643263,-0.038182,0.000000,491
