type,t_ms,roll_deg,roll_ref_deg,gx_dps,gx_ref_dps,omega_ref,omega_l,omega_r,speed_fb_mps,speed_corr_deg,sequence
DATA,24374,1.601396,0.300000,-2.549636,-4.554886,-1.722383,-0.727643,-1.333018,0.001820,0.000000,321
DATA,24444,1.008544,0.300000,12.816230,-2.479904,-1.565241,-1.760476,-0.901154,-0.004027,-0.000000,322
DATA,24514,0.166614,0.300000,5.986957,0.466852,-1.117957,-0.630646,-1.284562,-0.007502,-0.000000,323
DATA,24584,0.081530,0.300000,-2.549636,0.764646,-0.728321,-0.642724,-0.469945,-0.009328,-0.000000,324
DATA,24654,-0.057457,0.300000,7.511348,1.251101,-0.375549,-0.247533,-0.334609,-0.011270,-0.000000,325
DATA,24724,-0.106643,0.300000,-0.781342,1.423250,-0.161102,-0.789463,-0.513882,-0.010248,-0.000000,326
DATA,24794,-0.331578,0.300000,-7.793542,2.210524,0.213512,-0.164603,0.000000,-0.007169,-0.000000,327
DATA,24864,-0.818384,0.300000,-9.317933,3.914345,1.212179,0.905059,1.413680,-0.000638,-0.000000,328
DATA,24934,-0.446237,0.300000,18.791845,2.611831,1.308296,1.120777,1.186940,0.003243,0.000000,329
DATA,25004,0.150430,0.300000,0.255244,0.523495,0.904462,1.021312,0.778484,0.005581,0.000000,330
DATA,25074,0.470579,0.300000,-8.281347,-0.597027,0.500166,0.510749,1.067757,0.007902,0.000000,331
DATA,25144,0.255613,0.300000,20.377211,0.155354,0.397623,0.869140,0.686352,0.009283,0.000000,332
DATA,25214,0.015963,0.300000,2.511343,0.994131,0.305422,0.167317,0.154818,0.008800,0.000000,333
DATA,25284,0.437342,0.300000,7.267445,-0.480696,-0.072707,0.132556,0.282633,0.006530,0.000000,334
DATA,25354,1.082050,0.300000,10.865009,-2.737175,-1.008255,0.000000,0.000000,0.001588,0.000000,335
DATA,25424,0.809639,0.300000,-25.476482,-1.783736,-1.359507,-1.470887,-1.270682,-0.003893,-0.000000,336
DATA,25494,0.283123,0.300000,-12.976474,0.059070,-1.140719,-0.833226,-1.175277,-0.007331,-0.000000,337
DATA,25564,0.020696,0.300000,3.608905,0.977566,-0.851622,-0.664578,-0.846020,-0.010283,-0.000000,338
DATA,25634,-0.090721,0.300000,-8.525250,1.367526,-0.692598,-1.286097,-0.510656,-0.011932,-0.000000,339
DATA,25704,-0.345453,0.300000,-19.256968,2.259085,-0.015402,-1.141717,-0.921508,-0.009068,-0.000000,340
DATA,25774,-0.895042,0.300000,-20.415503,4.182648,0.987235,0.000000,0.000000,-0.002932,-0.000000,341
DATA,25844,-1.416139,0.300000,10.133301,6.006486,2.113643,1.313623,1.432933,0.007652,0.000000,342
DATA,25914,-0.823152,0.300000,15.438183,3.931034,1.994731,1.777470,2.080896,0.013333,0.000000,343
DATA,25984,-0.334897,0.300000,15.925988,2.222140,1.547021,1.526232,1.411969,0.017058,0.000000,344
DATA,26054,0.111765,0.300000,12.877205,0.658824,1.034626,1.434549,1.225503,0.018580,0.000000,345
DATA,26124,0.438002,0.300000,19.218674,-0.483006,0.487691,1.373175,0.833226,0.016996,0.000000,346
DATA,26194,0.425116,0.300000,8.852812,-0.437906,0.004402,0.210383,0.169618,0.013506,0.000000,347
DATA,26264,1.382342,0.300000,20.011358,-3.788196,-1.228202,0.000000,0.000000,0.004720,0.000000,348
DATA,26334,1.539929,0.300000,0.865001,-4.339750,-2.349889,-1.437791,-1.412681,-0.007878,-0.000000,349
DATA,26404,0.647764,0.300000,-15.842330,-1.217174,-2.114676,-1.942535,-1.946588,-0.014459,-0.000000,350
DATA,26474,0.607803,0.300000,-13.220375,-1.077309,-1.940085,-1.832158,-2.001434,-0.022089,-0.000000,351
DATA,26544,0.315949,0.124219,-21.635017,-0.671055,-1.618939,-1.631956,-1.742067,-0.026205,-0.175781,352
DATA,26614,-0.208410,0.124219,-16.695988,1.164202,-0.965960,-1.104501,-1.179040,-0.025346,-0.175781,353
DATA,26684,-0.270176,0.124219,-8.952080,1.380384,-0.689215,-0.514146,-0.956725,-0.025478,-0.175781,354
DATA,26754,-0.584587,0.300000,11.657692,3.096055,-0.041835,-0.269531,0.000000,-0.022198,-0.000000,355
DATA,26824,-0.102832,0.300000,6.108908,1.409911,-0.180429,-0.114656,-0.266512,-0.021610,-0.000000,356
DATA,26964,-0.022648,0.300000,3.182076,1.129268,-0.269870,-0.070074,-0.072694,-0.015023,-0.000000,358
DATA,27034,-0.084735,0.300000,-9.074032,1.346572,-0.202196,-0.070074,-1.408700,-0.012115,-0.000000,359
DATA,27104,-0.089495,0.300000,3.243051,1.363234,-0.039858,-0.069159,-0.191026,-0.011198,-0.000000,360
DATA,27174,0.065430,0.300000,2.877198,0.820994,-0.129307,-0.051408,-0.097774,-0.010360,-0.000000,361
DATA,27244,0.207174,0.300000,2.938173,0.324891,-0.302274,-0.040877,-0.065621,-0.009477,-0.000000,362
DATA,27314,-0.398052,0.300000,-4.561832,2.443182,0.189171,-1.014280,-0.519143,-0.005894,-0.000000,363
DATA,27384,-0.230558,0.300000,-0.354512,1.856954,0.362659,-0.170136,-0.163627,-0.007197,-0.000000,364
DATA,27454,-0.181554,0.300000,19.157698,1.685441,0.398788,0.000000,0.837013,-0.007193,-0.000000,365
DATA,27524,-0.017131,0.300000,1.901587,1.109960,0.248083,0.242359,0.188264,-0.004439,-0.000000,366
DATA,27594,0.100566,0.300000,5.438175,0.698020,0.095725,0.114730,0.096870,-0.003743,-0.000000,367
DATA,27664,0.552260,0.300000,8.974763,-0.882909,-0.399594,0.072895,0.065251,-0.005094,-0.000000,368
DATA,27734,0.713534,0.300000,-1.391099,-1.447367,-0.849002,-0.570789,-1.117555,-0.006121,-0.000000,369
DATA,27804,0.447051,0.300000,-31.025267,-0.514678,-1.072471,-1.487144,-1.304318,-0.008886,-0.000000,370
DATA,27874,0.273804,0.300000,-35.293564,0.091686,-0.634445,-1.043863,-0.999074,-0.008885,-0.000000,371
DATA,27944,0.253318,0.300000,-12.793547,0.163388,-0.697271,-1.583034,-0.250852,-0.010698,-0.000000,372
DATA,28014,0.030531,0.300000,10.377203,0.943142,-0.541801,-0.232058,-0.209859,-0.012271,-0.000000,373
DATA,28084,-0.167395,0.300000,2.450368,1.635884,-0.028680,-0.291124,-0.499537,-0.010265,-0.000000,374
DATA,28154,-0.095978,0.300000,-3.708173,1.385923,0.081059,-0.118394,-0.142587,-0.009235,-0.000000,375
DATA,28224,-0.731319,0.300000,-6.878908,3.609617,0.700940,-0.074365,0.000000,-0.004930,-0.000000,376
DATA,28294,-0.989919,0.300000,18.182087,4.514717,1.116448,0.419787,1.163164,-0.000481,-0.000000,377
DATA,28364,-0.048925,0.300000,-4.317930,1.221239,0.671154,0.266766,0.397659,0.000517,0.000000,378
DATA,28434,0.228137,0.300000,10.743058,0.251521,0.431148,1.126461,1.387608,0.001427,0.000000,379
DATA,28504,0.123582,0.300000,5.743053,0.617465,0.276732,0.169785,0.183774,0.002837,0.000000,380
DATA,28574,0.522291,0.300000,12.023545,-0.778019,-0.267958,0.091810,0.095752,-0.000247,-0.000000,381
DATA,28644,1.231483,0.300000,-2.610612,-3.260190,-1.338406,-1.033303,-0.417857,-0.005486,-0.000000,382
DATA,28714,1.425522,0.300000,-4.317930,-3.939327,-1.760672,-0.767553,-1.124379,-0.010559,-0.000000,383
DATA,28784,0.037846,0.300000,-8.159396,0.917541,-1.057954,-0.862551,-1.077126,-0.010380,-0.000000,384
DATA,28854,-0.933161,0.300000,-13.769156,4.316064,-0.051991,-0.944840,-0.456054,-0.006969,-0.000000,385
DATA,28924,-0.438409,0.300000,-4.378906,2.584433,0.255713,0.000000,-0.139032,-0.006041,-0.000000,386
DATA,28994,-1.137081,0.300000,4.584517,5.029783,0.981415,0.105471,0.800619,-0.002310,-0.000000,387
DATA,29064,-0.638537,0.300000,19.706480,3.284880,1.534709,1.932076,1.709298,0.004757,0.000000,388
DATA,29134,-1.086498,0.300000,8.304030,4.852745,1.765703,1.111342,0.938503,0.011411,0.000000,389
DATA,29204,-0.591079,0.300000,-14.866719,3.118777,1.226869,1.318822,0.621818,0.012757,0.000000,390
DATA,29274,-0.094608,0.300000,32.633316,1.381130,0.635567,0.714345,1.244245,0.010418,0.000000,391
DATA,29344,0.487175,0.300000,12.450376,-0.655112,0.037180,0.367596,0.210820,0.008821,0.000000,392
DATA,29414,1.805673,0.300000,24.950386,-5.269856,-1.486589,-0.753136,0.000000,-0.000211,-0.000000,393
DATA,29484,1.821924,0.300000,-28.769167,-5.326734,-2.369576,-1.885733,-2.135840,-0.009921,-0.000000,394
DATA,29554,1.098900,0.300000,-23.708191,-2.796151,-2.194510,-2.080586,-2.186908,-0.016272,-0.000000,395
DATA,29624,0.356223,0.300000,-17.305746,-0.196779,-1.598031,-1.506353,-1.513686,-0.019688,-0.000000,396
DATA,29694,0.504539,0.300000,-7.549640,-0.715884,-1.057191,-0.854440,-1.000288,-0.020025,-0.000000,397
DATA,29764,-0.270018,0.300000,-13.830132,1.995062,0.012439,-0.280971,-0.522555,-0.012763,-0.000000,398
